Date,Symbol,Open,High,Low,Close,Volume
25-08-2004,TCS,1198.7,1198.7,979,987.95,17116372
26-08-2004,TCS,992,997,975.3,979,5055400
27-08-2004,TCS,982.4,982.4,958.55,962.65,3830750
30-08-2004,TCS,969.9,990,965,986.75,3058151
31-08-2004,TCS,986.5,990,976,988.1,2649332
01-09-2004,TCS,990,995,983.6,987.9,2491943
02-09-2004,TCS,989.9,1004.6,986,993.65,2669544
03-09-2004,TCS,1006,1100,990.35,997.85,1233732
06-09-2004,TCS,1039.9,1039.9,992.9,994.85,1129834
07-09-2004,TCS,1035,1035,995,995.6,721529
08-09-2004,TCS,996,1000.8,991.1,993.7,824248
09-09-2004,TCS,997,997.9,978.45,979.95,993398
10-09-2004,TCS,990,990,976,988.8,801884
13-09-2004,TCS,991,1015.5,991,1003.5,2613114
14-09-2004,TCS,1005,1018.8,1002.95,1015.65,1916934
15-09-2004,TCS,1018,1020,1001.2,1006.1,1498536
16-09-2004,TCS,1007,1015,1002.5,1008.45,919778
17-09-2004,TCS,1012,1029.9,1010.3,1024.5,1828487
20-09-2004,TCS,1032.4,1036.9,1020.15,1022.9,1069028
21-09-2004,TCS,1024.85,1048.5,1022,1045.8,1737135
22-09-2004,TCS,1048.4,1056,1037.1,1052.05,1921448
23-09-2004,TCS,1048,1049,1027,1030.25,1977460
24-09-2004,TCS,1029.1,1040,1026,1028.8,1010401
27-09-2004,TCS,1027.5,1032.5,1015,1020.75,1028689
28-09-2004,TCS,1016,1027.4,1012.5,1015.55,792427
29-09-2004,TCS,1019.25,1033,1016.15,1031,1467147
30-09-2004,TCS,1035.6,1040.9,1020.65,1027.1,1565179
01-10-2004,TCS,1029,1056.45,1026.35,1047.7,1371111
04-10-2004,TCS,1057,1081,1054.45,1076.5,1891228
05-10-2004,TCS,1080.3,1089,1075.5,1080.7,1792661
06-10-2004,TCS,1081,1102.8,1075.05,1081.6,2208833
07-10-2004,TCS,1083,1100,1083,1097.1,1260016
08-10-2004,TCS,1098,1111,1095,1098.05,1069865
09-10-2004,TCS,1099.9,1103.85,1094.25,1100.65,258539
11-10-2004,TCS,1100,1111.5,1085,1089.3,1166507
12-10-2004,TCS,1110,1115,1077.65,1084.45,1950064
14-10-2004,TCS,1103,1124,1088.05,1116.2,2403248
15-10-2004,TCS,1121.7,1141,1117.25,1126,2224968
18-10-2004,TCS,1134,1142,1125.25,1137.25,1711668
19-10-2004,TCS,1140.15,1148.7,1136.1,1143.2,1470891
20-10-2004,TCS,1144.8,1149.9,1129,1133.25,900854
21-10-2004,TCS,1137.25,1139,1122,1125.55,801690
25-10-2004,TCS,1125,1127,1110.75,1117.35,1173784
26-10-2004,TCS,1115.6,1140.95,1115.6,1137.2,866595
27-10-2004,TCS,1142.25,1148,1135.2,1139.9,979707
28-10-2004,TCS,1145,1174.8,1145,1165.95,2323927
29-10-2004,TCS,1167.95,1167.95,1145.15,1156.25,1082722
01-11-2004,TCS,1150,1174.45,1142.3,1170.65,767196
02-11-2004,TCS,1130,1179.75,1125,1159.7,1108005
03-11-2004,TCS,1161,1184,1161,1175.2,1122267
04-11-2004,TCS,1181.75,1187.9,1167.7,1170.4,819476
